id,formattedAddress,city,state,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listingType,listedDate,daysOnMarket,listingWebsite
"9219-Linden-Ave-N-Unit-B,-Seattle,-WA-98103","9219 Linden Ave N Unit B, Seattle, WA 98103",Seattle,WA,98103,47.696314,-122.347467,Townhouse,2,2,1120,,Active,2700,Standard,2025-11-22T00:00:00.000Z,1,
"400-10th-Ave,-Apt-109,-Seattle,-WA-98122","400 10th Ave, Apt 109, Seattle, WA 98122",Seattle,WA,98122,47.605461,-122.319008,Single Family,1,1,,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1,
"301-Nw-62nd-St,-Seattle,-WA-98107","301 Nw 62nd St, Seattle, WA 98107",Seattle,WA,98107,47.674004,-122.361183,Condo,3,2,1210,,Active,2950,Standard,2025-11-22T00:00:00.000Z,1,
"400-10th-Ave,-Apt-311,-Seattle,-WA-98122","400 10th Ave, Apt 311, Seattle, WA 98122",Seattle,WA,98122,47.605461,-122.319008,Single Family,1,1,510,,Active,1450,Standard,2025-11-22T00:00:00.000Z,1,
"118-12th-Ave-E,-Seattle,-WA-98102","118 12th Ave E, Seattle, WA 98102",Seattle,WA,98102,47.619438,-122.316612,Single Family,2,1,850,,Active,2295,Standard,2025-11-22T00:00:00.000Z,1,
"556-1-2-Prospect-St,-Seattle,-WA-98109","556 1/2 Prospect St, Seattle, WA 98109",Seattle,WA,98109,47.629069,-122.345776,Condo,2,2,747,,Active,2645,Standard,2025-11-22T00:00:00.000Z,1,
"1569-Nw-63rd-St,-Seattle,-WA-98107","1569 Nw 63rd St, Seattle, WA 98107",Seattle,WA,98107,47.674412,-122.378677,Single Family,3,2,1050,,Active,3600,Standard,2025-11-22T00:00:00.000Z,1,
"3943-Sw-Rose-St,-Seattle,-WA-98136","3943 Sw Rose St, Seattle, WA 98136",Seattle,WA,98136,47.528969,-122.383833,Single Family,2,1,1330,,Active,2900,Standard,2025-11-22T00:00:00.000Z,1,
"5105-46th-Ave-SW,-Seattle,-WA-98136","5105 46th Ave SW, Seattle, WA 98136",Seattle,WA,98136,47.556193,-122.391489,Single Family,3,1.5,1440,1908,Active,3800,Standard,2025-11-22T00:00:00.000Z,1,
"411-Nw-Market-St,---B,-Seattle,-WA-98107","411 Nw Market St, # B, Seattle, WA 98107",Seattle,WA,98107,47.668344,-122.362561,Townhouse,3,2.5,1520,,Active,3350,Standard,2025-11-22T00:00:00.000Z,1,
"112-22nd-Ave-Unit-B,-Seattle,-WA-98122","112 22nd Ave Unit B, Seattle, WA 98122",Seattle,WA,98122,47.602184,-122.303375,Single Family,2,1,858,,Active,2600,Standard,2025-11-22T00:00:00.000Z,1,
"1803-N-88th-St,-Seattle,-WA-98103","1803 N 88th St, Seattle, WA 98103",Seattle,WA,98103,47.692147,-122.336199,Single Family,4,3,2280,,Active,4500,Standard,2025-11-22T00:00:00.000Z,1,
"312-N-115th-St,-Seattle,-WA-98133","312 N 115th St, Seattle, WA 98133",Seattle,WA,98133,47.712508,-122.354865,Single Family,3,2,1350,2016,Active,3395,Standard,2025-11-22T00:00:00.000Z,1,
"2423-11th-Ave-E,-Seattle,-WA-98102","2423 11th Ave E, Seattle, WA 98102",Seattle,WA,98102,47.642136,-122.318304,Single Family,4,3,3500,,Active,5000,Standard,2025-11-22T00:00:00.000Z,1,
"7532-21st-Ave-NE,-Seattle,-WA-98115","7532 21st Ave NE, Seattle, WA 98115",Seattle,WA,98115,47.684076,-122.304813,Single Family,3,2,1870,,Active,5000,Standard,2025-11-22T00:00:00.000Z,1,
"10329-Meridian-Ave-N,-Unit-A201,-Seattle,-WA-98133","10329 Meridian Ave N, Unit A201, Seattle, WA 98133",Seattle,WA,98133,47.70413,-122.334559,Single Family,2,2,892,1984,Active,2100,Standard,2025-11-22T00:00:00.000Z,1,
"13725-32nd-Ave-NE,-Seattle,-WA-98125","13725 32nd Ave NE, Seattle, WA 98125",Seattle,WA,98125,47.729018,-122.294744,Apartment,1,1,598,1990,Active,1270,Standard,2025-11-22T00:00:00.000Z,1,
"5614-28th-Ave-NW,-Seattle,-WA-98107","5614 28th Ave NW, Seattle, WA 98107",Seattle,WA,98107,47.669889,-122.392598,Townhouse,2,1.5,1070,,Active,2695,Standard,2025-11-22T00:00:00.000Z,1,
"301-W-Raye-St,-Apt-103,-Seattle,-WA-98119","301 W Raye St, Apt 103, Seattle, WA 98119",Seattle,WA,98119,47.64289,-122.361315,Apartment,2,1,754,1987,Active,2585,Standard,2025-11-22T00:00:00.000Z,1,
"1801-S-Walker-St,-Seattle,-WA-98144","1801 S Walker St, Seattle, WA 98144",Seattle,WA,98144,47.583528,-122.309096,Single Family,1,1,111,,Active,795,Standard,2025-11-22T00:00:00.000Z,1,
"3615-Gilman-Ave-W,-Seattle,-WA-98199","3615 Gilman Ave W, Seattle, WA 98199",Seattle,WA,98199,47.652622,-122.383888,Single Family,3,1.5,1307,2004,Active,2950,Standard,2025-11-22T00:00:00.000Z,1,
"12334-31st-Ave-NE,-Apt-510,-Seattle,-WA-98125","12334 31st Ave NE, Apt 510, Seattle, WA 98125",Seattle,WA,98125,47.71825,-122.294805,Condo,1,1,442,,Active,1195,Standard,2025-11-22T00:00:00.000Z,1,
"315-N-Greenwood-Cir,-Seattle,-WA-98103","315 N Greenwood Cir, Seattle, WA 98103",Seattle,WA,98103,47.700186,-122.354485,Single Family,5,2.5,2130,,Active,4250,Standard,2025-11-22T00:00:00.000Z,1,
